,2012,2013,2014,2015,2016,Phrase
lakeodomains com,1.0,1.0,1.0,1.0,1,lakeodomains com
lakeodomains com llc,1.0,1.0,1.0,1.0,1,lakeodomains com llc
lama,,,,1.0,1,lama
lama llc,,,,1.0,1,lama llc
lamborghini,,,,,1,lamborghini
lancaster,,,,,1,lancaster
ladas,1.0,1.0,1.0,1.0,1,ladas
lancelot,,,,1.0,1,lancelot
lancelot du lac,,,,1.0,1,lancelot du lac
land,,,,,1,land
land rover,,,,,1,land rover
land rover ltd,,,,,1,land rover ltd
landing spot,,,,,1,landing spot
landing spot llc,,,,,1,landing spot llc
landing zone,,,,,1,landing zone
landing zone llc,,,,,1,landing zone llc
lang,,,,1.0,1,lang
lancelot du,,,,1.0,1,lancelot du
lac llc,,,,1.0,1,lac llc
lac federaci de,,,,1.0,1,lac federaci de
lac federaci,,,,1.0,1,lac federaci
kuwaitnet general,1.0,1.0,1.0,1.0,1,kuwaitnet general
kuwaitnet general trading,1.0,1.0,1.0,1.0,1,kuwaitnet general trading
kyoto,,,,1.0,1,kyoto
kyoto jyoho,,,,1.0,1,kyoto jyoho
kyoto jyoho gakuen,,,,1.0,1,kyoto jyoho gakuen
la informacion,1.0,,,,1,la informacion
la mutualitθ,,,,,1,la mutualitθ
la mutualitθ franτaise,,,,,1,la mutualitθ franτaise
la tizone,,,,,1,la tizone
la tizone llc,,,,,1,la tizone llc
la trobe,,,,1.0,1,la trobe
la trobe university,,,,1.0,1,la trobe university
la tθlθvision,,,,,1,la tθlθvision
la tθlθvision europθenne,,,,,1,la tθlθvision europθenne
label,1.0,1.0,2.0,1.0,1,label
label internet,1.0,1.0,2.0,1.0,1,label internet
label internet service,1.0,1.0,2.0,1.0,1,label internet service
laboratories,,,,1.0,1,laboratories
laboratories inc,,,,1.0,1,laboratories inc
laboratory,1.0,,1.0,1.0,1,laboratory
laboratory inc,1.0,,1.0,1.0,1,laboratory inc
knob town,,,1.0,1.0,1,knob town
internet names incorporated,1.0,1.0,1.0,1.0,1,internet names incorporated
knob,,,1.0,1.0,1,knob
knipp medien,1.0,,,,1,knipp medien
june woods,,,1.0,1.0,1,june woods
june woods llc,,,1.0,1.0,1,june woods llc
jungbonet,1.0,1.0,1.0,1.0,1,jungbonet
jungbonet co,1.0,1.0,1.0,1.0,1,jungbonet co
jungbonet co ltd,1.0,1.0,1.0,1.0,1,jungbonet co ltd
just cover,,,1.0,1.0,1,just cover
just cover llc,,,1.0,1.0,1,just cover llc
just goodbye,,,1.0,1.0,1,just goodbye
just goodbye llc,,,1.0,1.0,1,just goodbye llc
june station llc,,,,,1,june station llc
just maple,,,1.0,1.0,1,just maple
jyoho,,,,1.0,1,jyoho
jyoho gakuen,,,,1.0,1,jyoho gakuen
kagoya,,1.0,1.0,1.0,1,kagoya
kagoya japan,,1.0,1.0,1.0,1,kagoya japan
kagoya japan inc,,,,1.0,1,kagoya japan inc
kanton,,,,1.0,1,kanton
kanton znrich,,,,1.0,1,kanton znrich
kanton znrich canton,,,,1.0,1,kanton znrich canton
karl,,,1.0,1.0,1,karl
just maple llc,,,1.0,1.0,1,just maple llc
karl von,,,1.0,1.0,1,karl von
june station,,,,,1,june station
june maple,,,,1.0,1,june maple
jpmorgan chase bank,,,,,1,jpmorgan chase bank
jprs,,,1.0,1.0,1,jprs
jprs registrar,,,1.0,1.0,1,jprs registrar
jprs registrar co,,,1.0,1.0,1,jprs registrar co
jsc,1.0,1.0,1.0,1.0,1,jsc
jsc dba,1.0,1.0,1.0,1.0,1,jsc dba
jsc dba ru,1.0,1.0,1.0,1.0,1,jsc dba ru
juggler,1.0,1.0,1.0,1.0,1,juggler
juggler inc,1.0,1.0,1.0,1.0,1,juggler inc
june maple llc,,,,1.0,1,june maple llc
julius,,1.0,1.0,1.0,1,julius
julius caesar llc,,1.0,1.0,1.0,1,julius caesar llc
jumbo,1.0,1.0,1.0,1.0,1,jumbo
jumbo name,1.0,1.0,1.0,1.0,1,jumbo name
jumbo name inc,1.0,1.0,1.0,1.0,1,jumbo name inc
jumpshot,,,,,1,jumpshot
jumpshot domains,,,,,1,jumpshot domains
jumpshot domains llc,,,,,1,jumpshot domains llc
june edge,,,,1.0,1,june edge
june edge llc,,,,1.0,1,june edge llc
julius caesar,,1.0,1.0,1.0,1,julius caesar
karl von clausewitz,,,1.0,1.0,1,karl von clausewitz
kaufmσnnischer,,,,,1,kaufmσnnischer
kaufmσnnischer genossenschaften,,,,,1,kaufmσnnischer genossenschaften
king inc,1.0,1.0,1.0,1.0,1,king inc
kingdomains,1.0,1.0,1.0,1.0,1,kingdomains
kingdomains incorporated,1.0,1.0,1.0,1.0,1,kingdomains incorporated
kinx,1.0,1.0,1.0,1.0,1,kinx
kinx co,1.0,1.0,1.0,1.0,1,kinx co
kinx co ltd,1.0,1.0,1.0,1.0,1,kinx co ltd
kiosk,1.0,1.0,2.0,1.0,1,kiosk
kiosk inc,1.0,1.0,2.0,1.0,1,kiosk inc
kiosk inc dba,1.0,1.0,2.0,1.0,1,kiosk inc dba
king,1.0,1.0,1.0,1.0,1,king
kiwi,,,1.0,1.0,1,kiwi
klaatudomains,1.0,1.0,1.0,1.0,1,klaatudomains
klaatudomains com,1.0,1.0,1.0,1.0,1,klaatudomains com
klaatudomains com llc,1.0,1.0,1.0,1.0,1,klaatudomains com llc
kluwer,,,,,1,kluwer
knet co,1.0,1.0,,1.0,1,knet co
knet co ltd,1.0,1.0,,1.0,1,knet co ltd
knet registrar,,,,,1,knet registrar
knet registrar co,,,,,1,knet registrar co
knipp,1.0,,,,1,knipp
kiwi limited,,,1.0,1.0,1,kiwi limited
kid llc,,,,1.0,1,kid llc
kid,,,,1.0,1,kid
kia motors corporation,,,,,1,kia motors corporation
kaunas,4.0,1.0,1.0,1.0,1,kaunas
kaunas university,4.0,1.0,1.0,1.0,1,kaunas university
kaunas university of,4.0,1.0,1.0,1.0,1,kaunas university of
kazakhstan,1.0,,1.0,,1,kazakhstan
kddi,,,,1.0,1,kddi
kddi corporation,,,,1.0,1,kddi corporation
kerry,,,,,1,kerry
kerry trading,,,,,1,kerry trading
kerry trading co,,,,,1,kerry trading co
key registrar,1.0,1.0,1.0,1.0,1,key registrar
key registrar inc,1.0,1.0,1.0,1.0,1,key registrar inc
key systems gmbh,1.0,1.0,1.0,1.0,1,key systems gmbh
key systems llc,,,1.0,1.0,1,key systems llc
kft,2.0,2.0,2.0,1.0,1,kft
khan,,,1.0,1.0,1,khan
khan llc,,,1.0,1.0,1,khan llc
kheweul,1.0,1.0,1.0,1.0,1,kheweul
kheweul com,1.0,1.0,1.0,1.0,1,kheweul com
kheweul com sa,1.0,1.0,1.0,1.0,1,kheweul com sa
kia,,,,,1,kia
kia motors,,,,,1,kia motors
knipp medien und,1.0,,,,1,knipp medien und
lang lasalle,,,,1.0,1,lang lasalle
internet ltd dba,1.0,2.0,1.0,1.0,1,internet ltd dba
internet limited,1.0,1.0,1.0,1.0,1,internet limited
iconicnames llc,,,,,1,iconicnames llc
id,2.0,1.0,1.0,1.0,1,id
id genesis,2.0,1.0,1.0,1.0,1,id genesis
id genesis llc,1.0,1.0,1.0,1.0,1,id genesis llc
identify,,,,1.0,1,identify
identify com,,,,1.0,1,identify com
identify com web,,,,1.0,1,identify com web
identity corporation,1.0,1.0,1.0,1.0,1,identity corporation
identity inc,1.0,1.0,1.0,1.0,1,identity inc
iconicnames,,,,,1,iconicnames
identity provider,1.0,1.0,1.0,1.0,1,identity provider
ifm,,,,1.0,1,ifm
ifm electronic,,,,1.0,1,ifm electronic
ifm electronic gmbh,,,,1.0,1,ifm electronic gmbh
ig,,,,1.0,1,ig
ig group,,,,1.0,1,ig group
ig group holdings,,,,1.0,1,ig group holdings
ignitela,2.0,1.0,1.0,1.0,1,ignitela
ignitela llc,2.0,1.0,1.0,1.0,1,ignitela llc
ihs telekom inc,1.0,1.0,1.0,1.0,1,ihs telekom inc
identity provider ab,1.0,1.0,1.0,1.0,1,identity provider ab
ii,,,,1.0,1,ii
icon llc,,,,,1,icon llc
icm registry sx,,,,1.0,1,icm registry sx
hulianxianfeng technology,,,1.0,1.0,1,hulianxianfeng technology
hulianxianfeng technology co,,,1.0,1.0,1,hulianxianfeng technology co
humeia,1.0,1.0,1.0,1.0,1,humeia
humeia corporation,1.0,1.0,1.0,1.0,1,humeia corporation
hun,,,1.0,1.0,1,hun
hun llc,,,1.0,1.0,1,hun llc
huyi,,,,1.0,1,huyi
huyi internet,,,,1.0,1,huyi internet
huyi internet ip,,,,1.0,1,huyi internet ip
icon,,,,,1,icon
hyundai,,,,,1,hyundai
hyundai motor company,,,,,1,hyundai motor company
iard,,,,1.0,1,iard
ice,1.0,1.0,1.0,1.0,1,ice
ice domains,1.0,1.0,1.0,1.0,1,ice domains
ice domains inc,1.0,1.0,1.0,1.0,1,ice domains inc
iceland,1.0,,1.0,,1,iceland
icm registry ad,,,,1.0,1,icm registry ad
icm registry llc,1.0,1.0,1.0,1.0,1,icm registry llc
icm registry pn,,,,1.0,1,icm registry pn
hyundai motor,,,,,1,hyundai motor
hulianxianfeng,,,1.0,1.0,1,hulianxianfeng
ii llc,,,,1.0,1,ii llc
ilait ab,1.0,1.0,1.0,1.0,1,ilait ab
in2net network,1.0,1.0,1.0,1.0,1,in2net network
in2net network inc,1.0,1.0,1.0,1.0,1,in2net network inc
inames,1.0,1.0,1.0,1.0,1,inames
inames co,1.0,1.0,1.0,1.0,1,inames co
inames co ltd,1.0,1.0,1.0,1.0,1,inames co ltd
inc ait,1.0,1.0,1.0,1.0,1,inc ait
inc aplus,1.0,1.0,1.0,1.0,1,inc aplus
inc aplus net,1.0,1.0,1.0,1.0,1,inc aplus net
inc dba 1isi,1.0,1.0,1.0,1.0,1,inc dba 1isi
in2net,1.0,1.0,1.0,1.0,1,in2net
inc dba dnsexit,1.0,1.0,1.0,1.0,1,inc dba dnsexit
inc dba doregi,1.0,1.0,1.0,1.0,1,inc dba doregi
inc dba dotearth,1.0,1.0,1.0,1.0,1,inc dba dotearth
inc dba name2host,1.0,1.0,1.0,1.0,1,inc dba name2host
inc dba namebright,1.0,1.0,1.0,1.0,1,inc dba namebright
inc dba namezero,1.0,1.0,1.0,1.0,1,inc dba namezero
inc dba newdentity,1.0,1.0,1.0,1.0,1,inc dba newdentity
inc dba personalnames,1.0,1.0,1.0,1.0,1,inc dba personalnames
inc dba plisk,1.0,1.0,1.0,1.0,1,inc dba plisk
inc dba resellersrs,1.0,1.0,1.0,1.0,1,inc dba resellersrs
inc dba domain,1.0,1.0,1.0,1.0,1,inc dba domain
ilait,1.0,1.0,1.0,1.0,1,ilait
in right of,,,,1.0,1,in right of
in motion inc,1.0,1.0,1.0,1.0,1,in motion inc
imena,1.0,1.0,1.0,1.0,1,imena
imena ua,1.0,1.0,1.0,1.0,1,imena ua
imminentdomains,1.0,1.0,1.0,1.0,1,imminentdomains
imminentdomains net,1.0,1.0,1.0,1.0,1,imminentdomains net
imminentdomains net llc,1.0,1.0,1.0,1.0,1,imminentdomains net llc
immobilien,,,,,1,immobilien
immobilien verwaltungs,,,,,1,immobilien verwaltungs
immobilien verwaltungs gmbh,,,,,1,immobilien verwaltungs gmbh
impaler,,,,,1,impaler
in right,,,,1.0,1,in right
impaler llc,,,,,1,impaler llc
imperial registrations,1.0,1.0,1.0,1.0,1,imperial registrations
imperial registrations inc,1.0,1.0,1.0,1.0,1,imperial registrations inc
imperiosus,1.0,1.0,1.0,1.0,1,imperiosus
imperiosus technology,1.0,1.0,1.0,1.0,1,imperiosus technology
imperiosus technology co,1.0,1.0,1.0,1.0,1,imperiosus technology co
in england,,,,1.0,1,in england
in england and,,,,1.0,1,in england and
in informatics,1.0,,1.0,,1,in informatics
in motion,1.0,1.0,1.0,1.0,1,in motion
imperial,1.0,1.0,1.0,1.0,1,imperial
huarui wireless technology,,,,,1,huarui wireless technology
huarui wireless,,,,,1,huarui wireless
huarui,,,,,1,huarui
hooyoo,1.0,1.0,1.0,1.0,1,hooyoo
hooyoo information,1.0,1.0,1.0,1.0,1,hooyoo information
hooyoo information technology,1.0,1.0,1.0,1.0,1,hooyoo information technology
horizon,,,1.0,1.0,1,horizon
horizon limited,,,1.0,1.0,1,horizon limited
hospedagem,1.0,2.0,1.0,2.0,1,hospedagem
hospedagem na,,,,1.0,1,hospedagem na
hospedagem na internet,,,,1.0,1,hospedagem na internet
host australia,1.0,1.0,1.0,1.0,1,host australia
honjo masamune llc,,,,,1,honjo masamune llc
host australia inc,1.0,1.0,1.0,1.0,1,host australia inc
host canada inc,1.0,1.0,1.0,1.0,1,host canada inc
host china,1.0,1.0,1.0,1.0,1,host china
host china inc,1.0,1.0,1.0,1.0,1,host china inc
host germany,1.0,1.0,1.0,1.0,1,host germany
host germany inc,1.0,1.0,1.0,1.0,1,host germany inc
host inc,2.0,2.0,1.0,1.0,1,host inc
host inc dba,1.0,1.0,1.0,1.0,1,host inc dba
host israel,1.0,1.0,1.0,1.0,1,host israel
host israel inc,1.0,1.0,1.0,1.0,1,host israel inc
host canada,1.0,1.0,1.0,1.0,1,host canada
host japan,1.0,1.0,1.0,1.0,1,host japan
honjo masamune,,,,,1,honjo masamune
hongkong domain name,,,,1.0,1,hongkong domain name
holly glen,,,1.0,1.0,1,holly glen
holly glen llc,,,1.0,1.0,1,holly glen llc
holly hill,,,1.0,1.0,1,holly hill
holly hill llc,,,1.0,1.0,1,holly hill llc
holly shadow,,,,,1,holly shadow
holly shadow llc,,,,,1,holly shadow llc
homer,,,,1.0,1,homer
homer tlc,,,,1.0,1,homer tlc
homer tlc inc,,,,1.0,1,homer tlc inc
honjo,,,,,1,honjo
homestead,1.0,1.0,1.0,1.0,1,homestead
homestead limited dba,1.0,1.0,1.0,1.0,1,homestead limited dba
honda,,,,1.0,1,honda
honda motor,,,,1.0,1,honda motor
honda motor co,,,,1.0,1,honda motor co
hong kong internet,1.0,,1.0,,1,hong kong internet
hong kong limited,,,1.0,2.0,1,hong kong limited
hongkong di,,,,,1,hongkong di
hongkong di en,,,,,1,hongkong di en
hongkong domain,,,,1.0,1,hongkong domain
homestead limited,1.0,1.0,1.0,1.0,1,homestead limited
host japan inc,1.0,1.0,1.0,1.0,1,host japan inc
host korea,1.0,1.0,1.0,1.0,1,host korea
host korea inc,1.0,1.0,1.0,1.0,1,host korea inc
hostytec,1.0,1.0,1.0,1.0,1,hostytec
hotdomaintrade,,1.0,1.0,1.0,1,hotdomaintrade
hotdomaintrade com,,1.0,1.0,1.0,1,hotdomaintrade com
hotdomaintrade com inc,,1.0,1.0,1.0,1,hotdomaintrade com inc
hotel,,,,,1,hotel
hotel cipriani,,,,,1,hotel cipriani
hotel cipriani srl,,,,,1,hotel cipriani srl
house inc,1.0,1.0,1.0,1.0,1,house inc
house of,,,,1.0,1,house of
hostserver gmbh,,1.0,1.0,1.0,1,hostserver gmbh
house of domains,,,,1.0,1,house of domains
house services inc,1.0,1.0,1.0,1.0,1,house services inc
hrunting,,,,,1,hrunting
hrunting llc,,,,,1,hrunting llc
hsbc,,,,,1,hsbc
hsbc holdings,,,,,1,hsbc holdings
hsbc holdings plc,,,,,1,hsbc holdings plc
http,1.0,1.0,1.0,1.0,1,http
http net,1.0,1.0,1.0,1.0,1,http net
http net internet,1.0,1.0,1.0,1.0,1,http net internet
house services,1.0,1.0,1.0,1.0,1,house services
hostserver,,1.0,1.0,1.0,1,hostserver
hostpoint ag,,1.0,1.0,1.0,1,hostpoint ag
hostpoint,,1.0,1.0,1.0,1,hostpoint
hosteur,,,1.0,1.0,1,hosteur
hosteur sarl,,,1.0,1.0,1,hosteur sarl
hosting communications,1.0,1.0,1.0,1.0,1,hosting communications
hosting communications technologies,1.0,1.0,1.0,1.0,1,hosting communications technologies
